Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,6,0,59000.0,57978.21704999978,34665.28079999989,75594.56079999928,86.0,0.0783174332520645,0.0,63000,63000,67000,67000,76000,76000,76000,76000,76000,76000,76000
,Aggregated,6,0,59000.0,57978.21704999978,34665.28079999989,75594.56079999928,86.0,0.0783174332520645,0.0,63000,63000,67000,67000,76000,76000,76000,76000,76000,76000,76000
